State,AdminRegion,Count_yr,SpeciesNumber,NumberByPartyHours,Year,ReportingCounts,ReportingObservers
AK,alaska,63,1,0.0128,1962,1,1
AK,alaska,64,2,0.0233,1963,1,2
AK,alaska,70,6,0.0513,1969,2,8
AK,alaska,71,4,0.0313,1970,1,7
AK,alaska,72,2,0.0187,1971,2,18
AK,alaska,73,3,0.0328,1972,2,13
AK,alaska,74,24,0.1333,1973,3,18
AK,alaska,75,13,0.0523,1974,2,21
AK,alaska,76,5,0.0193,1975,2,15
AK,alaska,77,7,0.0174,1976,4,67
AK,alaska,78,6,0.0196,1977,3,20
AK,alaska,79,4,0.011,1978,4,46
AK,alaska,80,8,0.0182,1979,4,57
AK,alaska,81,17,0.0355,1980,3,54
AK,alaska,82,37,0.0541,1981,8,70
AK,alaska,83,30,0.0387,1982,7,69
AK,alaska,84,22,0.0296,1983,5,65
AK,alaska,85,49,0.0808,1984,9,80
AK,alaska,86,76,0.1123,1985,11,94
AK,alaska,87,52,0.0716,1986,9,55
AK,alaska,88,67,0.1073,1987,9,45
AK,alaska,89,62,0.0673,1988,5,51
AK,alaska,90,79,0.0851,1989,6,54
AK,alaska,91,128,0.1366,1990,11,51
AK,alaska,92,245,0.2545,1991,10,56
AK,alaska,93,232,0.2167,1992,10,62
AK,alaska,94,230,0.1857,1993,8,53
AK,alaska,95,342,0.3005,1994,14,61
AK,alaska,96,406,0.3565,1995,14,83
AK,alaska,97,335,0.329,1996,16,75
AK,alaska,98,345,0.269,1997,18,85
AK,alaska,99,439,0.3545,1998,17,92
AK,alaska,100,487,0.4103,1999,14,84
AK,alaska,101,600,0.4284,2000,16,67
AK,alaska,102,434,0.3499,2001,15,100
AK,alaska,103,426,0.2986,2002,17,72
AK,alaska,104,353,0.2809,2003,14,70
AK,alaska,105,636,0.4717,2004,18,88
AK,alaska,106,442,0.3112,2005,15,82
AK,alaska,107,563,0.3773,2006,17,89
AK,alaska,108,492,0.3465,2007,19,86
AK,alaska,109,623,0.4591,2008,24,88
AK,alaska,110,474,0.3432,2009,23,95
AK,alaska,111,648,0.4474,2010,20,93
AK,alaska,112,506,0.3458,2011,19,99
AK,alaska,113,489,0.3826,2012,25,153
AK,alaska,114,366,0.2703,2013,20,82
AL,alabama,34,3,0,1933,1,4
AL,alabama,44,3,0.0408,1943,1,5
AL,alabama,45,6,0,1944,2,9
AL,alabama,50,4,0.0556,1949,1,12
AL,alabama,51,2,0.0741,1950,1,11
AL,alabama,54,13,0.1453,1953,1,22
AL,alabama,55,4,0.0416,1954,1,17
AL,alabama,56,4,0.058,1955,1,13
AL,alabama,57,2,0.0155,1956,1,16
AL,alabama,58,4,0.0357,1957,1,21
AL,alabama,59,3,0.0299,1958,1,18
AL,alabama,60,9,0.0829,1959,2,17
AL,alabama,61,2,0.0149,1960,2,18
AL,alabama,62,9,0.0616,1961,1,26
AL,alabama,63,5,0.0259,1962,2,23
AL,alabama,64,36,0.1395,1963,3,39
AL,alabama,65,18,0.0575,1964,2,28
AL,alabama,66,55,0.1752,1965,4,37
AL,alabama,67,1,0.0035,1966,1,34
AL,alabama,69,30,0.1132,1968,4,27
AL,alabama,70,23,0.079,1969,4,36
AL,alabama,71,2,0.0064,1970,1,33
AL,alabama,72,7,0.021,1971,3,44
AL,alabama,73,43,0.1218,1972,4,52
AL,alabama,75,28,0.0496,1974,5,41
AL,alabama,76,75,0.1265,1975,8,36
AL,alabama,77,42,0.0665,1976,6,45
AL,alabama,78,134,0.1753,1977,8,40
AL,alabama,79,17,0.0292,1978,7,38
AL,alabama,80,2,0.0038,1979,1,41
AL,alabama,81,53,0.0977,1980,8,42
AL,alabama,82,18,0.0326,1981,5,37
AL,alabama,83,13,0.0225,1982,5,39
AL,alabama,84,9,0.0141,1983,5,44
AL,alabama,85,1,0.0015,1984,1,32
AL,alabama,86,68,0.1011,1985,8,43
AL,alabama,87,18,0.0237,1986,7,60
AL,alabama,88,10,0.0143,1987,4,50
AL,alabama,89,5,0.0069,1988,3,26
AL,alabama,90,35,0.0503,1989,8,58
AL,alabama,91,21,0.0262,1990,5,56
AL,alabama,92,12,0.0145,1991,3,23
AL,alabama,94,64,0.0768,1993,4,40
AL,alabama,95,4,0.0049,1994,4,38
AL,alabama,96,97,0.1187,1995,9,42
AL,alabama,97,2,0.0022,1996,2,30
AL,alabama,98,47,0.06,1997,6,34
AL,alabama,99,5,0.007,1998,2,25
